"Tag ""%s"" details","""%s"" etiket detayı"
"Dashboard","Genel Görünüm"
"In stock","Stokta var"
"Index model name must be defined","İndex model adı belirtilmeli"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Ziyaretçi tarafından Karşılaştırmaya Eklenen ve Silinen Ürünlerin Listesi"
"List of Products Recently Viewed by Visitor","Ziyaretçi tarafından Görülen Ürünler"
"Number of Invoiced Orders","Faturalanmış Sipariş Sayısı"
"Number of Products to display","Gösterilecek ürün sayısı"
"Product SKU","Ürün SKU"
"Products Ordered","Sipariş verilen ürünler"
"Profit","Kâr"
"Recently Compared","En Son karşılaştırılanlar"
"Recently Viewed","En Son görülenler"
"Search Query","Aranan Kelime"
"Select day of the month","Ayın gününü seçini<"
"Viewed Products Grid Template","Görülen Ürünler Izgara Şablonu"
"Viewed Products List Template","Görülen Ürünler Liste Şablonu"
"Year-To-Date Starts","Yıl Başlangıcı"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Abandoned Carts","Terkedilmiş Sepetler"
"Any","Hiç"
"Applies to Any of the Specified Order Statuses","Seçili Sipariş Durumlarından Birine Uygulanır"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","İstatistiğin tamamını güncellemek istediğinizden emin misiniz ? Bu işlem esnasında ciddi oranda işlemci kullanılır ve sitenizde yavaşlamalar olabilir."
"Are you sure?","Emin misiniz ?"
"Avg. Approved Rating","Kabul Edilen Yorum Ortalaması"
"Avg. Rating","Ortalama Yorum Puanı"
"Coupons Usage Report","Kupon Kullanım Raporu"
"Created At","Oluşturulma Tarihi"
"Customers by Number of Orders","Sipariş Sayısına Göre Müşteriler"
"Customers by Orders Total","Sipariş Toplamına Göre  Müşteriler"
"Default Recently Compared Products Count","Varsayılan 'En Son Karşılaştırdığınız Ürünler' Sayısı"
"Default Recently Viewed Products Count","Varsayılan 'En Son Gördüğünüz Ürünler' Sayısı"
"Description","Açıklama"
"Empty Rows","Boş Satırlar"
"Filter","Filtre"
"From","Başlangıç"
"IP Address","IP Adresi"
"Invalid date specified.","Hatalı tarih bilgisi girdiniz."
"Low Stock","Düşük Stok"
"Match Period To","Aralığı Eşleştir"
"No","Hayır"
"No records found for this period.","Bu aralık için veri bulunamadı."
"Number of Times Deleted","Silinme Sayısı"
"Order Status","Sipariş Durumu"
"Order Taxes Report Grouped by Tax Rate","Vergi Grubuna Göre Gruplanmış Sipariş Vergi Raporu"
"Period","Aralık"
"Refresh Lifetime Statistics","Bütün İstatistiği Güncelle"
"Refresh Statistics","İstatistikleri Güncelle"
"Refresh Statistics for the Last Day","Son Gün İçin İstatistiği Güncelle"
"Refunds","İadeler"
"Report","Rapor"
"Select day of the month.","Ayın gününü seçiniz."
"Show Actual Values","Canlı Verileri Göster"
"Show Report","Raporu Göster"
"Specified","Detaylı"
"Statistics","İstatistikler"
"Tag Use","Etiket Kullanımı"
"Tags Submitted by %s","%s tarafından gönderilen etiketler"
"To","Son"
"Total Invoiced vs. Paid Report","Toplam Fatura Edilenler ve Ödemesi Alınanlar Raporu"
"Total Ordered Report","Topla Sipariş Raporu"
"Total Refunded Report","Toplam İade Raporu"
"Total Shipped Report","Toplam Gönderilenler Raporu"
"Updated At","Son Güncelleme"
"Yes","Evet"
"undefined","ayarlanmadı"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Excel XML","Excel XML "
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.6.0.0-rc1 2011-07-19 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Catalog Category (Without Subcategories)","Kategori (Alt Kategorileri Hariç)"
"--------------- v 1.6.0.0-rc1 2011-07-19 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.7.0.0-alpha 2012-01-22 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Shopping Cart Price Rule","Alışveriş Sepeti Fiyat Kuralı"
"--------------- v 1.7.0.0-alpha 2012-01-22 SONU --------------------","////////////////////////////////////////////////////////////////////////"
