"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Bu içerik Adobe Flash Player'in son sürümünü gerektirir. <a href=""%s"">Flash'ı İndir</a>"
"---------------version 1.2 - siteden cekilen dosyalarla eklendi--------------------","////////////////////////////////////////////////////////////////////////"
"Error while creating image","Resim oluşturulurken hata oluştu"
"Image not exists or invalid","Resim yok veya hatalı"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"An error occurred while creating the image.","Resim oluşturulurken bir hata oluştu."
"The image does not exist or is invalid.","Resim dosyası bulunamıyor veya dosya bozuk."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
